Feature,Chi2_Score,F_Score,RF_Importance,Abs_Correlation,Chi2_Score_Normalized,F_Score_Normalized,RF_Importance_Normalized,Abs_Correlation_Normalized,Average_Score
S2-1,114221500.1967522,10707.87953456733,0.09368587779612492,0.17677155204830458,0.08513268167622719,1.0,1.0,0.9476582933096103,0.7581977437464593
PTIa41-2,5570512.741555586,4542.790026864263,0.06083820172057502,0.18652266541025728,0.0041518687683977555,0.4242394262008747,0.6459652404653955,1.0,0.518589133858667
PTIa41-3,2910120.367940831,3140.3863151382575,0.026531566779584834,0.17057229931716103,0.0021689991956941298,0.29326829192090864,0.2762057109376558,0.9143821476933383,0.3715062874368992
S4,418.5172875056669,746.4966168656404,0.09128759913776971,0.03278585308134173,3.1185373613302925e-07,0.0697018206527933,0.9741511695940107,0.17477657783847358,0.3046574699847534
CI2a32-2,1341688031.5527894,10.448623006625372,0.000904942616964182,0.0029447178921899126,1.0,0.0009619564937322261,0.0,0.014596310478104307,0.25388956674295915
PTIa21,836004.1594443775,1391.537159009699,0.00916606320177167,0.11693365493374205,0.0006230986883599519,0.12994245660860945,0.08903898811598737,0.6264623904949852,0.2115167334769855
CI3a12-3,50826.133635446764,3568.453764320098,0.006475168901348056,0.07659082275407506,3.788214963690005e-05,0.33324570990611646,0.06003632398862678,0.4099114582448356,0.20080784357230394
S8,686.501155047084,626.6420609723118,0.05233564944134308,0.019892195121210293,5.115900841219227e-07,0.05850854798621488,0.5543240831218804,0.10556642325769841,0.17959989148896946
S9,122.06720807583038,170.19011309960152,0.06100297878911267,0.009351617307009445,9.090067366115611e-08,0.015880288479106053,0.6477412202851663,0.048987055156941565,0.1781521637054719
PTIa41-1,1447819.070705278,864.180474641785,0.0233561303343249,0.06441115562606406,0.0010791025409109447,0.08069237081356985,0.2419806145950921,0.34453384025011763,0.16707148204992261
CI3a22-2,31272.582614955874,1828.4623121453672,0.00618923900850115,0.08171798197844647,2.3308306416864634e-05,0.170747099681892,0.056954549782592186,0.4374328554756472,0.16628945331163705
CI3a21-1,28739.63776282494,1714.4584671909101,0.00794344260220483,0.07613366284231662,2.1420427273006433e-05,0.16010022762849016,0.07586148998874874,0.40745753025490683,0.16086016707485468
PAIa13,709573491.8930757,6.960253138427787,0.001084201681513381,0.0030293018597472607,0.5288662305659173,0.0006361760108329086,0.0019320678779864448,0.01505033752673556,0.13662120299536806
CI3a22-1,30692.990738729266,1629.2891767132517,0.005136376913424563,0.06412190549187992,2.2876319350838572e-05,0.15214622801596048,0.045606721771983084,0.3429812128606448,0.1351892597419848
CI3a22-5,42552.450079374445,1123.1616604187034,0.008177205473747515,0.06666290563112155,3.171552717164944e-05,0.10487874409165238,0.0783810040580054,0.3566207101212726,0.13497804344952552
CI3a23-1,12682.04774011232,1719.0574885673343,0.009959374708080466,0.04944831115173947,9.452227776281794e-06,0.16052973237181886,0.09758936007308078,0.2642167741205345,0.1305863296983026
CI3a12-4,38177.11279334697,1482.5039714930892,0.006848734632741679,0.052315429491008626,2.8454458142575518e-05,0.13843788949513497,0.06406264395050543,0.2796067979660384,0.12053394646745533
PTIa2,290859.85472125537,436.99954184526945,0.005586789814527596,0.06203897337603973,0.00021678642206088972,0.04079774500551687,0.050461306393632804,0.33180051812185785,0.1058190889857671
